first_name,last_name,email,phone,city,registration_date
Rahul,Sharma,rahul@gmail.com,9876543210,Mumbai,12-01-2024
Anita,Verma,anita@gmail.com,+91 98765 43211,Delhi,2024/01/15
Rohit,Mehta,,9876543212,Pune,15-01-2024
Priya,Singh,priya@gmail.com,09876543213,Bangalore,01/20/2024
Amit,Kumar,amit@gmail.com,98765-43214,Chennai,2024-01-22
Neha,Gupta,neha@gmail.com,9876543215,Delhi,2024-01-25
Rahul,Sharma,rahul@gmail.com,9876543210,Mumbai,12-01-2024
Suresh,Rao,suresh@gmail.com,,Hyderabad,2024-01-28
Pooja,Nair,pooja@gmail.com,9876543217,Kochi,30-01-2024
Vikas,Jain,vikas@gmail.com,9876543218,Jaipur,2024/02/02
